 OP,"Heroically, with bravery"
OP,"I'll go on with my life, "
OP,"just a long, long time. "
OP,But if the two of us should get split up
OP,"by whatever means, "
OP,"let go of me, "
OP,Take my revolution. 
Title,Utena - La Fillette Revolutionnaire 
OP,"In the sunny garden, we held each other's hands,"
OP,"drew close together and soothed each other with the words,"
OP,"""Neither of us will ever fall in love again."""
OP,Everytime 
OP,Into this photograph of us 
OP,"smiling cheek to cheek, "
OP,"I took a bit of loneliness, "
OP,and crammed it inside. 
OP,Revolution! 
OP,"Even in my dreams, even through my tears, "
OP,"even though I'm being hurt, "
OP,"reality is approaching now, frantically. "
OP,What I want now is to find out 
OP,"just where I belong, "
OP,"and my self-worth, up through today. "
OP,"Heroically, I'll throw away "
OP,"my clothes 'til I'm nude, "
OP,"like the roses dancing all around me, whirling free."
OP,But if the two of us should get split up
OP,"by whatever means, "
OP,"I swear to you, I will change the world. "
girl,"1 Hey, hey! Look! This is amazing! "
girl,2 What's amazing? 
girl,1 Look! Captain Juri and Micky! 
girl,"3 It's amazing, all right! "
girl,1 Didn't I tell you it was amazing? 
girl,3 Too amazing! 
girl,"1 That's to be expected, though. "
girl,1 They're both national level players. 
girl,"2 Ah, that figures. "
girl,"1 Hey, hey, by the way... "
girls,We saw it! It was amazing! Cool! 
Juri,"Well, you've finally defeated me. "
Juri,You've improved. 
Miki,"No, I'm not good enough. "
Miki,I've yet to reach perfection. 
Juri,"Well, imperfection IS your strength. "
Juri,It's a power because of your purity. 
Juri,Your sword always has the force of your sincerity.
Juri,"And today, it seems to be stronger than ever."
Juri,Is it because of the girl whose answer sheet you're correcting?
Miki,Wh-what are you talking about? 
Juri,"But, I don't think your sword is meant for real fighting."
Title,The Sunny Garden - Finale - 
Miki,Here you are. 
Anthy,Thank you. 
Miki,This looks like that garden. 
Utena,"Hey, Chuchu, wait! "
Utena,Oops. Guess I'm not wanted here. 
Miki,The sound... 
Miki,The sound that I've been seeking... 
Utena,"This is the same music Himemiya was playing last night, isn't it?"
Miki,Yes. 
Miki,"It's ""The Sunny Garden,"" which my sister and I wrote when we were very young."
Utena,"You wrote it? But it's a famous composition, isn't it?"
Miki,My twin sister and I used to play with the piano like a toy since we were old enough to understand suchthings...
Miki,In that garden... 
Miki,Our playing always used to surprise the grown-ups in the neighborhood.
Utena,"So, you siblings were both child geniuses. "
Miki,Now I realize that all of my happiness rested in that garden. But...
Miki,But... 
Utena,But? 
