Akio,I think even the Rose Bride was moved. 
Akio,"And now, it seems you're building your hopes on her."
Akio,"No, that's not it. "
Akio,"It was her first Duel, the one called ""Friendship."""
Akio,"Ever since that day, that moment when she happened to fight the captain of the Kendo Club,"
Akio,you've been pinning your hopes on her. 
Utena,"You're the captain of the Kendo Club, right?"
Utena,You've got a duel with me today after school!
WWWW,When Where Who Which 
WWWW,When Where Who Which 
Saionji,...the power to revolutionize the world! 
WWWW,"Flow of blood from the cage of my memory,"
WWWW,In the cradle of a thousand years of bliss.
Saionji,You're pretty good... for a girl. 
WWWW,"And I, an actor cast eternally"
Saionji,So you want to be the prince who saves the helpless princess?
Saionji,Unfortunately... 
WWWW,as the Sphinx in the desert winter.
Utena,"Oh, no... "
Utena,That magical sword... is real? 
WWWW,Now you know the sadness 
Saionji,"Really now, challenging the Sword of Dios with a simple bamboo practice sword?"
Utena,Sword of Dios? 
WWWW,of the stillborn flesh. 
Saionji,You don't know about the Sword of Dios? Who are you?
Saionji,"You, a prince on a white horse out to save a princess?"
WWWW,"And I, a holy actor, cast eternally"
Prince,"""Little one bearing up alone under grief, "
WWWW,"as a dark shining Margineaux, cast into Hell."
Prince,"please lose not thy strength and nobility when thou growest up."""
WWWW,Glow! 
Saionji,What!? 
WWWW,Burn! 
WWWW,"Cool down, "
WWWW,and sing! 
Saionji,Stupid bitch! 
WWWW,"Born in this world, "
WWWW,"born in an instant, "
WWWW,born all over again. 
Saionji,It can't be... 
Saionji,I've... lost? 
Saionji,Anthy... 
Anthy,"Take it easy, Saionji...sempai. "
Utena,"Ahh.. That was really weird, whatever happened back there."
Utena,"What was all that, anyway? "
Utena,"Oh well, better just forget about it! "
Utena,Huh? You... 
Anthy,"I've been waiting for you, Utena-sama. "
Anthy,"I am the Rose Bride, and from today on, I am your flower."
Akio,As you expected... 
Akio,"she got engaged to the Rose Bride, and began to walk the Duelist's Path."
Akio,"And then, she faced her second trial, the Duel called ""Choice."""
Anthy,It is the Rose Signet. 
Anthy,Anyone who has that ring is entitled to participate in the Duels.
Anthy,"So, since you are the current champion, "
Anthy,"one by one, you will be challenged to Duels by the other bearers of the Rose Signet."
Utena,You've gotta be kidding! 
Utena,No way I'm going to keep fighting those pointless duels!
ZUM,The Absolute Destiny: Apocalypse 
ZUM,The Absolute Destiny: Apocalypse 
ZUM,"My own birth, "
ZUM,"Absolute birth, "
ZUM,Apocalypse 
ZUM,A wet-nurse and a midwife in a dark desert 
ZUM,A gold-gilded Shangri-La 
ZUM,Day and night reversing 
ZUM,A time-gilded Lost Paradise 
ZUM,Darkness over Sodom 
ZUM,Darkness ever glowing 
ZUM,Darkness over yonder 
ZUM,Darkness never ending 
ZUM,The Absolute Destiny: Apocalypse 
ZUM,The Absolute Destiny: Apocalyptic Darkness; Apocalypse
ZUM,mokushi kushimo shimoku kumoshi moshiku shikumo
ZUM,mokushi kushimo shimoku kumoshi moshiku shikumo
Paleozoic,"Astrologic eras, "
Paleozoic,"primeval oceans, "
Utena,...the power to revolutionize the world! 
Paleozoic,erosion and sediment 
Paleozoic,"Three billion years, "
Paleozoic,"genesis of life, "
Paleozoic,geologic eras 
Anthy,I though you weren't going to accept any Duels...
Paleozoic,"Cambrian, "
Paleozoic,"Ordovician, "
Utena,What could I do? 
Paleozoic,"Silurian, "
Utena,"If I didn't accept the Duel, I'd be kicked out of the Academy."
Paleozoic,"Devonian, "
Paleozoic,"Stromatolite, "
Paleozoic,"bacteria, "
Saionji,I have you now! 
Paleozoic,collenia. 
Paleozoic,"Triassic, Jurassic, Cretaceous."
Saionji,You're pretty good. 
Paleozoic,"Lycopsida, "
Utena,I'll just throw the Duel. 
Utena,"After that, no problem, right? "
Paleozoic,"selaginella, "
Paleozoic,pleuromeia. 
Saionji,The Sword of Dios doesn't have any special powers per se.
Paleozoic,Caytonia 
Paleozoic,"bennetites, "
Paleozoic,ammonite. 
Saionji,"It is a champion's sword, belonging only to the best."
Paleozoic,"Oceanic Rose, "
Paleozoic,"Oceanic Lily, "
Saionji,"Yesterday I just wasn't very focused, "
Paleozoic,Oceanic Apple 
Saionji,but obviously the differences in our skills is vast.
Paleozoic,Oceanic Flower Buds. 
Paleozoic,"Oceanic Angel, "
Paleozoic,"Oceanic Mirror, "
Paleozoic,"Oceanic Gate, "
Paleozoic,Oceanic Haze. 
Paleozoic,"Carboniferous, Permian, Paleozoic."
Paleozoic,"The Oceanic You, "
Saionji,"That sword, and Anthy as well, belong to me."
Paleozoic,"The Oceanic Me, "
Saionji,They are my -- Saionji Kyouichi's -- flowers.
Paleozoic,are the Paleozoic within the body.
Saionji,Prepare to die! 
Paleozoic,"Continuing to live, "
Paleozoic,"continuing to die, "
Paleozoic,the Paleozoic telling the story.
Paleozoic,"Just like the whale, "
Paleozoic,"Just like the dolphin, "
Paleozoic,"Just like the seal, "
Paleozoic,"to the bottom of the sea, the oceanic me."
Paleozoic,"At the bottom of the sea, a grand history."
Paleozoic,"to the bottom of the sea, where I will be me."
Paleozoic,Ammonite! 
Akio,"It was from that moment that your power, "
Akio,"the Power of Dios, began to unseal itself at last."
Akio,Certainly she is fascinating. 
Akio,"She may even lead your power, the Power of Dios, to its complete rebirth."
Akio,Her subsequent battles were also highly individual.
Miki,I could never capture the quality of her playing.
Miki,I have to get that music back. 
Spira,"The theater, "
Spira,"gifted spirits, "
Spira,a collective phenomenon. 
Miki,"Therefore, whatever it takes, I must have the Bride."
Spira,"The theater, "
Spira,"gifted characters, "
Spira,a phantasmic reality. 
Utena,It suits you better to sit down at the piano.
Spira,"Operating table, "
Spira,"a shipwreck, "
Spira,pure drama... spira mirabilis
Spira,"Still spiraling, "
Spira,"transforming, "
Spira,in the vortex. spira mirabilis
Spira,in Scipio's dream 
Spira,The theater 
Spira,"illusory spirits, "
Kozue,"So, should we give it another try? "
Spira,movement of immortality 
Spira,"The theater, "
Touga,"If something is really important to you, seize it and protect it with your own hands,"
Spira,"illusory characters, "
Spira,structure of immortality 
Touga,"lest someone should steal it, Micky. "
Spira,"Ammonite, "
Spira,"alchemy, "
Utena,He's good... 
Spira,scarab... spira mirabilis 
Spira,Dying just to live once more.
Spira,spira mirabilis 
Spira,in the vortex of miracles. 
Spira,mai mai mai mai 
Spira,mai mai mai mai 
Spira,Never-ending theater 
Utena,Let's settle this! 
Spira,On the geometric stage 
Miki,I won't be beaten! She believes in me! 
Spira,"of life and the mystery of death,"
Anthy,"There! Utena-sama, get him! "
Spira,"Exeunt, all! "
Spira,Death rebirth death rebirth death rebirth death rebirth
Spira,Death rebirth death rebirth death rebirth death rebirth
Spira,Death rebirth death rebirth death rebirth!
Akio,I should say here that it was not just the power to revolutionize the world that bound them.
Akio,"But in seizing a miracle, it also seized them."
Juri,"Your Rose Signet, throw this ring away! "
Juri,It's disgusting! Your so-called nobility is to copycat as someone you love told you!
DS,Nature's light 
DS,Mosaic light 
DS,Child of daybreak; the angel Lucifer
Shiori,"Believe in a miracle, "
DS,Apocalyptic light 
DS,Michael's light 
DS,Child of darkness; androgynous 
Shiori,that your wish come true. 
DS,Fire's light 
DS,Heavenly light 
DS,Hierarchia of the heavens 
Juri,"Are you alright, prince? We've only just begun."
DS,Illusory light 
DS,Eternal light 
DS,Phantasmic deception; capricious birth
DS,Nyx 
DS,Erebus 
DS,Uranus 
DS,Thanatos 
Juri,Why don't you try to step aside at least?
DS,"Shining bodies, all of them spherical, gynous"
DS,"just as if born with every miracle, gynous."
DS,"The pleasure principle, the Nirvana principle"
DS,"Death's inevitability, dubbed ""the light"""
Juri,Pathetic. You're already exhausted. But I'll have no mercy.
DS,"Without having to have lived, "
DS,Phenomenon of mobile life 
Juri,"Isn't a miracle going to happen yet, prince? "
DS,In the cerebral universe 
DS,Shape of floating life 
Juri,That's quick! 
Shiori,"But, I don't regret stealing him from you."
DS,"Glory, ephemery, hope for eternity!"
Shiori,You must hate me for being like this. 
DS,Incomplete returning to the primitive beginnings.
Juri,"""Believe in a miracle"" was your favorite phrase."
DS,"Male/female, positive/negative are the two of me."
DS,"Up/down, left/right are the two of me."
Juri,THERE ARE NO MIRACLES! 
DS,"Front/back, Heaven/Earth are the two of me."
DS,Angel and devil are the two of me.
DS,The center is hollow hollow hollow hollow...
Juri,This is it. 
Akio,"Ah, yes, the young are forever aiming for the ends of the world."
Nanami,It's your fault my brother got hurt! 
Nanami,Your fault. 
Nanami,Your fault. 
LastEvo,Beginning of the earth 
LastEvo,Stage props 
LastEvo,Laplace nebula 
LastEvo,Spectatorism 
Nanami,Don't underestimate me! 
LastEvo,Unchanging illusion 
LastEvo,Mystery solving clock 
LastEvo,Baby carriage of the 
LastEvo,edge of immortality. 
LastEvo,My eternal self and 
Touga,"Nanami, show me your power, as a chosen one of ""Ends of the World."""
LastEvo,the eternal stranger 
LastEvo,two relations; two births 
LastEvo,scales of mystery; human constellation
Nanami,...I've watched my brother like a hawk. You hurt him!
Nanami,"It's your fault, for interfering between me and my brother."
Nanami,It's your fault. 
Nanami,It's your fault. 
Nanami,It's your fault. 
Nanami,It's your fault. 
Nanami,It's your fault. 
Nanami,It's your... 
LastEvo,"Time is hypothetical, an illusional prop"
LastEvo,of the beginnings of birth.
LastEvo,"Destiny, choice, goodbye-ism"
LastEvo,You and I are the Milky Way
LastEvo,"Having no past, only the present, having no future,"
LastEvo,A single person in the Theatre Cosmic. That's me!
LastEvo,Wait! My last evolution-revolution-everlution
Akio,Friendship... 
Akio,Choice... 
Akio,Reason... 
Akio,Love... 
Akio,Adoration... 
Akio,Conviction... 
Akio,and Self. 
Akio,"Even after seven Duels, she is still a Duelist."
Akio,It may be that she is the very one we've wished for.
Akio,"At this rate, it's possible that she'll reach the Duel called ""Revolution."""
Akio,It may be that the day of your total release is at hand.
Akio,Don't give me that look. 
Akio,"We both look forward to that day, since we share a vested interest."
Akio,"But, a new stage is about to begin. "
Akio,I wonder how she will fight Duels from now on.
Utena,"Ouch! Hey, Chuchu! "
Anthy,"I'm home, Utena-sama, Chuchu. "
Utena,Welcome back. Where have you been? 
Anthy,"Utena-sama, the clouds are moving so quickly."
Anthy,Utena-sama! 
Anthy,"Oh, dear, what should I do? "
ED,Missing truth and forever 
ED,Kissing love and true your heart 
ED,Embrace me with your true arms 
ED,The key to open up tomorrow is reality 
ED,I want to keep on destroying lies. 
ED,"Even if we keep on talking, "
ED,you still won't ever see. 
ED,Excuses really suit adults 
ED,who hang on to old stories. 
ED,Because unchosen angels 
ED,have no need for wings. 
ED,"Missing truth and forever, "
ED,"Kissing love and true your heart, "
ED,I will like tomorrow's new me. 
ED,"At least I believe so; I want to believe it,"
ED,so I want to keep lies hating me. 
